date,Month,Timestep,A1,B1,C1,D1,E1,F1,G1,H1,I1,J1,A2,B2,C2,D2,E2,F2,G2,H2,I2,J2
2016-01,January,1,1270.3,1811,1140.3,484.9,1312.8,40.8,5256,9102.1,3017.1,618.6,1737,568,1272,136,3351,3,5216,1120,257,154
2016-02,February,2,1541.2,1836.9,879.5,425.5,986.6,34.9,17896,10036.2,3518,582.7,1694,554,1080,110,2805,3,11534,1154,539,185
2016-03,March,3,1561.3,1446.7,933.1,511.5,922.9,50.5,14580,10251.3,3156.8,793.9,1753,801,1367,136,2810,2,10436,1411,418,193
2016-04,April,4,1099.1,1608.6,1081.6,459,780.2,47.2,5268,7555.8,2285.6,711.6,1382,978,1493,179,2006,103,5851,1251,208,184
2016-05,May,5,608.3,3849.8,1228.1,458.7,504.3,161.5,4418,8210.1,2427.3,797.1,722,2998,1709,188,1268,359,4341,1221,206,205
2016-06,June,6,762.6,6547.6,1376.5,630.6,458.3,63.2,7765,7202,2961.8,610.3,889,5060,1812,202,939,123,6353,1204,300,205
2016-07,July,7,708.9,8007.9,1290.5,421.7,479.8,38,11723,7054.5,2553.1,665.5,913,6023,1780,177,927,81,8516,1211,447,211
2016-08,August,8,905.7,7600.5,1639,623.1,628.9,96.7,10400,8066.7,2405.8,869.6,1013,4957,2083,193,1477,80,6891,1240,336,296
2016-09,September,9,952.2,5851.1,1304.1,408.3,864.7,61.6,7929,9501.5,1958.3,645.7,997,4118,1823,184,2153,36,5544,1326,230,261
2016-10,October,10,1103.2,3828.2,1379.1,691.1,1144.4,72.5,6242,9511.3,1931.8,1024.4,1071,2810,1903,170,2562,19,5046,1252,185,239
2016-11,November,11,1398.7,375.4,1380.5,607.5,909.7,7.1,14738,7109.1,4710.6,727.7,1518,142,1656,188,2035,2,8920,993,576,215
2016-12,December,12,1584.6,585,1162.5,481,1062,70.7,9812,8126.5,3571.5,967.9,1538,173,1482,155,2405,1,7253,974,444,218
2017-01,January,13,1568.7,621.8,948.5,425.6,1165,17.4,10690,9654.6,3388.4,951.5,1524,212,1187,120,2631,3,6736,1184,391,179
2017-02,February,14,1293.1,423.5,728,686,1163.7,31.6,6000,10785.5,2290.8,725.6,1197,188,1059,161,2086,,4308,1032,192,196
2017-03,March,15,1937.5,475.2,1590.6,504.5,787.9,4.3,55603,10191.8,12155,540.4,2141,238,1799,122,1461,1,23171,1165,2224,203
2017-04,April,16,1841.9,985,1231.9,329.4,558.4,90.6,17113,12683,5181.6,890.8,2032,314,1572,145,1175,43,9828,1579,612,213
2017-05,May,17,2090.3,1162.2,1417.8,360.5,491.5,38.1,11497,20014,3608.5,1011.8,2346,314,1891,169,1097,74,8178,1632,360,282
2017-06,June,18,1974.4,836.8,1714.7,405.6,462.9,53.7,15486,13072.8,3539.9,1061.5,2156,331,2089,163,930,46,9845,1489,419,306
2017-07,July,19,1826.4,523.9,1606.6,298.8,388.7,29.9,24769,8665.6,6217.7,946.8,2142,189,1967,136,947,49,13113,1166,913,263
2017-08,August,20,1737,825.9,1408,481.8,726.4,61.6,9663,10327.4,2953.2,1140,2202,234,2033,186,1435,54,6362,1245,247,273
2017-09,September,21,1446.7,705.3,1383.8,471.9,788.9,24.8,8751,9731.7,3047.8,1062.1,1632,194,1887,193,1771,16,5646,1130,221,276
2017-10,October,22,1645.6,656.8,1645.5,372.4,741.2,4.6,12637,7949,3835.5,1318.6,1860,196,2185,171,1857,3,8201,1216,401,382
2017-11,November,23,1580.4,668.3,1433.7,463.9,939.5,7.1,6965,6732.3,2644.1,1235.5,1559,184,2092,186,2384,1,5646,1087,247,374
2017-12,December,24,1556.2,379.9,1190.1,305.8,956.8,3.2,15080,5501.3,4784.2,742.2,1382,127,1547,136,2212,3,8051,866,702,231
2018-01,January,25,1232.6,825.4,1672.1,467,1055.5,39.5,5986,5609,2323.1,771.2,1027,174,1588,143,2079,1,5017,951,144,210
2018-02,February,26,1044.9,591,990.1,289.6,774,13.3,8478,5384,3026.4,845,955,229,1203,115,1443,2,5324,797,275,181
2018-03,March,27,1086.4,774.6,1028.1,344.7,1032.2,108.6,5997,6658,2201.7,752.8,1055,230,1440,121,1628,,4747,992,169,210
2018-04,April,28,1623.4,901.2,1437.6,408.4,809.6,89.4,20376,6822,5726,930.9,1644,248,1877,175,1126,4,10533,1179,726,234
2018-05,May,29,1897.8,844.2,1832.3,382.3,485.2,125.2,27969,8243,6677.6,840.9,2013,262,2537,168,871,8,15529,1606,1128,244
2018-06,June,30,1902.2,1511.2,1637.8,582.6,513.3,42.3,11443,9638,2463.2,916,1920,349,2330,230,950,45,9096,1379,236,287
2018-07,July,31,1797.8,1076.6,1776.7,376.8,530.3,77.8,15974,8794,3834.5,949.4,1862,348,2357,168,1022,18,10768,1363,442,300
2018-08,August,32,1641.4,1065.7,1875.6,424.2,500.3,90.1,32320,8288,7254.8,882.1,1684,344,2360,215,1006,20,16470,1171,1123,309
2018-09,September,33,1930.3,1436.1,1947.1,424.4,589.9,23.8,21475,7790,5301.3,995.3,1987,381,2726,187,1334,3,11863,1343,784,301
2018-10,October,34,1890,964.3,1992.4,616.5,612.5,8.5,15616,8449,4541.2,1084.6,1780,261,2980,226,1178,2,10305,1946,555,327
2018-11,November,35,1390.6,634.8,1703.3,380.7,797.8,6.3,8964,6865,3468,928.9,1244,173,2069,161,1185,2,5764,2041,293,264
2018-12,December,36,1160.4,433.6,1579.1,448.7,1057.3,27.6,5283,6822,2951.2,1090.6,851,121,1839,164,1124,20,4114,1780,221,205
2019-01,January,37,1388.9,537.4,1209.1,439.9,800,2,7916,5574.9,2886,745.7,940,161,1425,154,1174,2,4701,2068,177,166
2019-02,February,38,1992.1,387.3,1406.5,524,567.9,9,83203,4817.9,7528.4,574,1904,177,1753,117,721,1,19847,1336,1411,135
2019-03,March,39,1561.8,910.3,1462.4,409.7,761.8,25,10623,7441.2,4463.9,845.4,1379,172,1605,106,732,2,6242,2094,302,206
2019-04,April,40,1814,1164.4,1528.7,524.8,571.6,,15249,8132.7,3117.2,1153.6,1734,178,2108,155,681,,9007,1953,345,220
2019-05,May,41,2001.2,1272,1911.3,618.7,512.5,4,13844,8938.7,4224.5,1127.1,1762,268,2524,185,563,1,8850,1974,414,284
